state,county,crop,practice,product,product_code,coverage_level,units,fsa,net_rev
Arkansas,Mississippi,Rice,Irrigated,YP,1,80%,Enterprise,PLC,96.38672312
Arkansas,Mississippi,Rice,Irrigated,YP,1,85%,Enterprise,PLC,93.15779407
Arkansas,Mississippi,Rice,Irrigated,YP,1,No Insurance,Enterprise,N/A,53.69160116
Arkansas,Mississippi,Rice,Irrigated,YP,1,50%,Enterprise,N/A,69.50507907
Arkansas,Mississippi,Rice,Irrigated,YP,1,55%,Enterprise,N/A,73.25949344
Arkansas,Mississippi,Rice,Irrigated,YP,1,60%,Enterprise,N/A,77.61611513
Arkansas,Mississippi,Rice,Irrigated,YP,1,65%,Enterprise,N/A,82.77957628
Arkansas,Mississippi,Rice,Irrigated,YP,1,70%,Enterprise,N/A,88.82601256
Arkansas,Mississippi,Rice,Irrigated,YP,1,75%,Enterprise,N/A,94.21591503
Arkansas,Mississippi,Rice,Irrigated,YP,1,80%,Enterprise,N/A,96.38672312
Arkansas,Mississippi,Rice,Irrigated,YP,1,85%,Enterprise,N/A,93.15779407
Arkansas,Mississippi,Rice,Irrigated,YP,1,No Insurance,Enterprise,ARC-CO,53.69160116
Arkansas,Mississippi,Rice,Irrigated,YP,1,50%,Enterprise,ARC-CO,69.50507907
Arkansas,Mississippi,Rice,Irrigated,YP,1,55%,Enterprise,ARC-CO,73.25949344
Arkansas,Mississippi,Rice,Irrigated,YP,1,60%,Enterprise,ARC-CO,77.61611513
Arkansas,Mississippi,Rice,Irrigated,YP,1,65%,Enterprise,ARC-CO,82.77957628
Arkansas,Mississippi,Rice,Irrigated,YP,1,70%,Enterprise,ARC-CO,88.82601256
Arkansas,Mississippi,Rice,Irrigated,YP,1,75%,Enterprise,ARC-CO,94.21591503
Arkansas,Mississippi,Rice,Irrigated,YP,1,80%,Enterprise,ARC-CO,96.38672312
Arkansas,Mississippi,Rice,Irrigated,YP,1,85%,Enterprise,ARC-CO,93.15779407
Arkansas,Mississippi,Rice,Irrigated,RP,2,No Insurance,Basic,PLC,53.69160116
Arkansas,Mississippi,Rice,Irrigated,RP,2,50%,Basic,PLC,67.20754936
Arkansas,Mississippi,Rice,Irrigated,RP,2,55%,Basic,PLC,69.57640962
Arkansas,Mississippi,Rice,Irrigated,RP,2,60%,Basic,PLC,73.01879134
Arkansas,Mississippi,Rice,Irrigated,RP,2,65%,Basic,PLC,75.08171692
Arkansas,Mississippi,Rice,Irrigated,RP,2,70%,Basic,PLC,79.43325173
Arkansas,Mississippi,Rice,Irrigated,RP,2,75%,Basic,PLC,82.01077145
Arkansas,Mississippi,Rice,Irrigated,RP,2,80%,Basic,PLC,82.39033363
Arkansas,Mississippi,Rice,Irrigated,RP,2,85%,Basic,PLC,79.14972777
Arkansas,Mississippi,Rice,Irrigated,RP,2,No Insurance,Basic,N/A,53.69160116
Arkansas,Mississippi,Rice,Irrigated,RP,2,50%,Basic,N/A,67.20754936
Arkansas,Mississippi,Rice,Irrigated,RP,2,55%,Basic,N/A,69.57640962
Arkansas,Mississippi,Rice,Irrigated,RP,2,60%,Basic,N/A,73.01879134
Arkansas,Mississippi,Rice,Irrigated,RP,2,65%,Basic,N/A,75.08171692
Arkansas,Mississippi,Rice,Irrigated,RP,2,70%,Basic,N/A,79.43325173
Arkansas,Mississippi,Rice,Irrigated,RP,2,75%,Basic,N/A,82.01077145
Arkansas,Mississippi,Rice,Irrigated,RP,2,80%,Basic,N/A,82.39033363
Arkansas,Mississippi,Rice,Irrigated,RP,2,85%,Basic,N/A,79.14972777
Arkansas,Mississippi,Rice,Irrigated,RP,2,No Insurance,Basic,ARC-CO,53.69160116
Arkansas,Mississippi,Rice,Irrigated,RP,2,50%,Basic,ARC-CO,67.20754936
Arkansas,Mississippi,Rice,Irrigated,RP,2,55%,Basic,ARC-CO,69.57640962
Arkansas,Mississippi,Rice,Irrigated,RP,2,60%,Basic,ARC-CO,73.01879134
Arkansas,Mississippi,Rice,Irrigated,RP,2,65%,Basic,ARC-CO,75.08171692
Arkansas,Mississippi,Rice,Irrigated,RP,2,70%,Basic,ARC-CO,79.43325173
Arkansas,Mississippi,Rice,Irrigated,RP,2,75%,Basic,ARC-CO,82.01077145
Arkansas,Mississippi,Rice,Irrigated,RP,2,80%,Basic,ARC-CO,82.39033363
Arkansas,Mississippi,Rice,Irrigated,RP,2,85%,Basic,ARC-CO,79.14972777
Arkansas,Mississippi,Rice,Irrigated,RP,2,No Insurance,Enterprise,PLC,53.69160116
